Rule,target_alignment,num_layers,seed
PC,0.7145485877990723,22,1855152618
PC,0.8460620641708374,23,1855152618
PC,0.9618546962738036,24,1855152618
PC,0.7265337109565735,25,1855152618
BP,1.0,1,1855152618
BP,0.9055997729301452,2,1855152618
BP,0.8368732333183289,3,1855152618
BP,0.8092113137245178,4,1855152618
BP,0.7645125389099121,5,1855152618
BP,0.6443422436714172,6,1855152618
BP,0.6719826459884644,7,1855152618
BP,0.6844277381896973,8,1855152618
BP,0.6439461708068848,9,1855152618
BP,0.6020731925964355,10,1855152618
BP,0.5963804721832275,11,1855152618
BP,0.5362940430641174,12,1855152618
BP,0.432567298412323,13,1855152618
BP,0.5437644124031067,14,1855152618
BP,0.4814011454582214,15,1855152618
BP,0.5136404037475586,16,1855152618
BP,0.534521758556366,17,1855152618
BP,0.5016109347343445,18,1855152618
BP,0.3934519290924072,19,1855152618
BP,0.4917318224906921,20,1855152618
BP,0.3978902995586395,21,1855152618
BP,0.3892605602741241,22,1855152618
BP,-0.1132644191384315,23,1855152618
BP,0.2922561466693878,24,1855152618
BP,0.091573379933834,25,1855152618
PC,1.0000004768371582,1,2444264003
PC,0.9920175075531006,2,2444264003
PC,0.9864168167114258,3,2444264003
PC,0.949224293231964,4,2444264003
PC,0.9372308850288392,5,2444264003
PC,0.9078407883644104,6,2444264003
PC,0.9081125855445862,7,2444264003
PC,0.8834433555603027,8,2444264003
PC,0.8600142002105713,9,2444264003
PC,0.8608385324478149,10,2444264003
PC,0.9099103808403016,11,2444264003
PC,0.9651148915290833,12,2444264003
PC,0.9816144704818726,13,2444264003
PC,0.9091354608535768,14,2444264003
PC,0.957278847694397,15,2444264003
PC,0.911717653274536,16,2444264003
PC,0.9082210659980774,17,2444264003
PC,0.9514794945716858,18,2444264003
PC,0.6245594024658203,19,2444264003
PC,0.7904254198074341,20,2444264003
PC,0.8047516345977783,21,2444264003
PC,0.9572751522064208,22,2444264003
PC,0.8761749863624573,23,2444264003
PC,0.8237237334251404,24,2444264003
PC,0.8063358664512634,25,2444264003
BP,1.0000004768371582,1,2444264003
BP,0.9325829744338988,2,2444264003
BP,0.8629772067070007,3,2444264003
BP,0.7526825070381165,4,2444264003
BP,0.7784146666526794,5,2444264003
BP,0.7445179224014282,6,2444264003
BP,0.7020965814590454,7,2444264003
BP,0.6339576244354248,8,2444264003
BP,0.606019139289856,9,2444264003
BP,0.6063079237937927,10,2444264003
BP,0.4592403769493103,11,2444264003
